inventor_id,name,country
fl:ar_ln:pun-1,Arthur Fong-Yuen Pun,US
fl:ar_ln:viger-2,Arthur Viger,
fl:ar_ln:wojtalik-1,Artur Wojtalik,
fl:ar_ln:zeira-1,Ariela Zeira,US
fl:as_ln:clemmensen-1,Asbjørn Clemmensen,
fl:as_ln:matsuo-1,Asaharu Matsuo,
fl:as_ln:quitoriano-1,Ashley Quitoriano,
fl:at_ln:dey-1,Atreyee Dey,
fl:at_ln:georgiev-1,Atanas G. Georgiev,
fl:at_ln:giordani-1,Attilio G. Giordani,
fl:at_ln:kakuta-1,Atsushi Kakuta,
fl:at_ln:nakagawa-4,Atsushi Nakagawa,
fl:at_ln:takesue-1,Atsushi Takesue,
fl:at_ln:yamada-9,Atsushi Yamada,
fl:at_ln:yokoi-4,Atsushi Yokoi,
fl:au_ln:falconer-1,Aubrey Falconer,
fl:au_ln:marchetti-1,Augusto Marchetti,
fl:au_ln:montierth-1,Austin Montierth,
fl:au_ln:younkin-1,Audrey C. Younkin,
fl:av_ln:akerib-1,Avidan Akerib,
fl:ax_ln:nix-1,Axel Nix,
fl:ax_ln:stavenow-1,Axel Stavenow,
fl:ay_ln:higuchi-2,Ayumi HIGUCHI,
fl:ay_ln:miyazaki-2,Aya Miyazaki,
fl:ba_ln:andre-6,Bartley K. Andre,
fl:ba_ln:ashok-1,Balasubramanyan Ashok,
fl:ba_ln:bicking-1,Barbara Irene Bicking,
fl:ba_ln:deheij-1,Bas de Heij,
fl:ba_ln:dharmarajan-2,Baskaran Dharmarajan,
fl:ba_ln:drozd-2,Bartlomiej Drozd,
fl:ba_ln:henderson-5,Bart Henderson,US
fl:ba_ln:heo-4,Baekho Heo,
fl:ba_ln:james-7,Barry James,
fl:ba_ln:khoshnood-1,Bahram Khoshnood,
fl:ba_ln:kroon-1,Bart Kroon,
fl:ba_ln:mangat-1,Balinder Mangat,
fl:ba_ln:mansoorian-2,Barmak Mansoorian,
fl:ba_ln:masoud-1,Baha Masoud,
fl:ba_ln:radhakrishnan-2,Balasingam Radhakrishnan,
fl:ba_ln:ramamoorthy-5,Balaji Ramamoorthy,
fl:ba_ln:ressler-1,Barry Ressler,US
fl:ba_ln:roufogalis-1,Basil Don Roufogalis,
fl:ba_ln:scott-10,Baker Scott,
fl:ba_ln:sterman-1,Baruch Sterman,
fl:ba_ln:syed-5,Baber Syed,
fl:ba_ln:turner-4,Barry S. Turner,
fl:ba_ln:valastro-2,Bartolo Valastro,
fl:ba_ln:vanhell-1,Bart Van Hell,
fl:be_ln:aspar-1,Bernard Aspar,
fl:be_ln:batur-1,Berker Batur,
fl:be_ln:beauquey-1,Bernard Beauquey,
fl:be_ln:bierbaumer-1,Benjamin Bierbaumer,
fl:be_ln:bross-1,Benjamin Bross,
fl:be_ln:cannan-1,Bernard M. Cannan,
fl:be_ln:dinvald-1,Beth Dinvald,
fl:be_ln:dittmer-1,Bernd Dittmer,
fl:be_ln:du-1,Benjamin R. Du,
fl:be_ln:duesel-1,"Bernard F. Duesel, Jr.",
fl:be_ln:elhadi-1,Belaifa Elhadi,
fl:be_ln:gadea-1,Bedrick Gadea,
fl:be_ln:han-2,Beom-Ku Han,
fl:be_ln:hanel-1,Bernd Hanel,
fl:be_ln:harrison-2,Beverly L. Harrison,
fl:be_ln:heinbokel-1,Bernd Heinbokel,
fl:be_ln:hendriks-3,Bernardus Hendrikus Wilhelmus Hendriks,
fl:be_ln:herrmann-4,Bernd Herrmann,
fl:be_ln:jongbloed-1,Bert Jongbloed,
fl:be_ln:keiper-2,Bernd Keiper,
fl:be_ln:kim-36,Beom Jin Kim,
fl:be_ln:leroux-6,Bertrand Leroux,
fl:be_ln:lindoff-1,Bengt Lindoff,
fl:be_ln:long-8,Benjamin John Oliver Long,
fl:be_ln:louie-2,Benjamin Louie,
fl:be_ln:occhipinti-1,Benjamin Thomas Occhipinti,
fl:be_ln:parr-3,Becky Parr,
fl:be_ln:pelletier-5,Benoit Pelletier,
fl:be_ln:radier-1,Benoît Radier,
fl:be_ln:ramsay-1,Bertrum S. Ramsay,US
fl:be_ln:seid-1,Bernhard Seid,
fl:be_ln:shin-3,Beom Kyu Shin,
fl:be_ln:travacca-1,Bertrand TRAVACCA,
fl:be_ln:voith-1,Bernhard Voith,
fl:be_ln:widzgowski-1,Bernd Widzgowski,
fl:be_ln:ziegler-5,Bernd Ziegler,
fl:be_ln:zierenberg-1,Bernd Zierenberg,
fl:bh_ln:gooray-1,Bhismadev Cyrus Gooray,US
fl:bh_ln:kabra-2,Bhagwati P. Kabra,
fl:bh_ln:lathia-1,Bhavnish H. Lathia,
fl:bi_ln:acun-1,Bilge Acun,US
fl:bi_ln:arya-2,Bira Arya,
fl:bi_ln:balasingh-1,Binesh Balasingh,
fl:bi_ln:enlund-1,Birger S. I. Enlund,
fl:bi_ln:george-6,Biju George,
fl:bi_ln:ho-5,Bin-Lun Ho,
fl:bi_ln:ji-3,Bing Ji,
fl:bi_ln:liang-15,Bing Liang,
fl:bi_ln:nanukuttan-1,Biju Nanukuttan,
fl:bi_ln:wang-77,Bin Wang,
fl:bj_ln:gunderson-2,Bjorn Gunderson,
fl:bj_ln:lyng-1,Bjorn Lyng,
fl:bj_ln:olsson-1,Björn Olsson,
fl:bj_ln:schreiner-1,Bjorn Schreiner,
fl:bl_ln:hayward-1,Blake Earl Hayward,
fl:bl_ln:pelton-1,Blake D. Pelton,
fl:bo_ln:asmussen-1,Bodo Asmussen,
fl:bo_ln:aviv-1,Bobby Elijah Aviv,
fl:bo_ln:chen-46,Bo-Hao Chen,
fl:bo_ln:cichon-1,Bob A. Cichon,
fl:bo_ln:dobbins-1,Bob M. Dobbins,
fl:bo_ln:hagerman-1,Bo Hagerman,
fl:bo_ln:jacob-1,Boris Jacob,
fl:bo_ln:jung-58,Bokyung JUNG,
fl:bo_ln:kim-111,Bo Hyun Kim,
fl:bo_ln:kim-137,Bong-Soo Kim,
fl:bo_ln:kim-179,Bong Tae Kim,
fl:bo_ln:koo-25,Bon-Young Koo,
fl:bo_ln:nam-10,Bohyun Nam,
fl:bo_ln:ormsbee-1,Bowden Ormsbee,
fl:bo_ln:sea-1,Bongkuk Sea,
fl:bo_ln:xing-2,Bo Xing,
fl:bo_ln:zapletal-1,Bohumila Zapletal,
fl:br_ln:andreae-3,Bradley M. Andreae,
fl:br_ln:andress-1,Bradley W. Andress,
fl:br_ln:babic-4,Branko Babic,
fl:br_ln:ball-6,Brian Ball,
fl:br_ln:bellamy-1,Brandon Bellamy,
fl:br_ln:bertke-1,Brian D. Bertke,
fl:br_ln:bochner-2,Bruce Bochner,US
fl:br_ln:boschker-1,Breght Roderick Boschker,
fl:br_ln:boston-2,Brian Boston,
fl:br_ln:brinson-2,Brad D. Brinson,
fl:br_ln:buescher-1,Brent Buescher,
fl:br_ln:buntschuh-1,Bruce Melvin Buntschuh,
fl:br_ln:carette-2,Brigitte Carette,
fl:br_ln:chou-1,Bruce C. S. Chou,
fl:br_ln:creger-1,Bruce E. Creger,
fl:br_ln:drake-9,Brandon C. DRAKE,
fl:br_ln:dunne-7,Brendan Dunne,
fl:br_ln:eachus-1,Bradly Eachus,
fl:br_ln:esch-3,Brian Esch,
fl:br_ln:fang-1,Brian Fang,
fl:br_ln:fox-20,Brian G. Fox,
fl:br_ln:frisoni-1,Bruno Frisoni,
fl:br_ln:funk-5,Brian J. Funk,
fl:br_ln:furtwangler-1,Brandon C. Furtwangler,
fl:br_ln:garcia-3,Bryant Garcia,
fl:br_ln:gates-8,Brian J. Gates,
fl:br_ln:gormley-4,Brian Gormley,
fl:br_ln:hamel-1,Bradley J. Hamel,
fl:br_ln:hillstrom-1,Brian Hillstrom,
